loggingSample(N),accelerometerAccelerationX(G),SQR_accelerometerAccelerationX(G),accelerometerAccelerationY(G),SQR_accelerometerAccelerationY(G),accelerometerAccelerationZ(G),SQR_accelerometerAccelerationZ(G),TOTAL_ACCELERATION,accelerometerTimestamp_sinceReboot(s),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84)
19446,0.322662354,0.104110995,1.151519775,1.325997792,-0.197906494,0.03916698,1.21213686,1375753.59,1537499663,37.8155372,-122.2639914
19447,0.432220459,0.186814525,1.305358887,1.703961824,-0.011154175,0.000124416,1.375100274,1375753.65,1537499663,37.8155372,-122.2639914
19448,0.32711792,0.107006134,1.144851685,1.310685381,-0.193832397,0.037570998,1.206342618,1375753.709,1537499663,37.8155372,-122.2639914
19449,0.260650635,0.067938754,0.916473389,0.839923473,-0.113555908,0.012894944,0.959560926,1375753.769,1537499663,37.8155372,-122.2639914
19450,0.137466431,0.01889702,1.025680542,1.052020574,-0.325424194,0.105900906,1.084812657,1375753.829,1537499663,37.8155372,-122.2639914
19451,0.145263672,0.021101534,1.356933594,1.841268779,-0.078231812,0.006120216,1.366927405,1375753.888,1537499663,37.8155372,-122.2639914
19452,0.22416687,0.050250786,0.729187012,0.531713698,-0.257873535,0.06649876,0.805272155,1375753.948,1537499663,37.8155372,-122.2639914
19453,0.409240723,0.167477969,0.816741943,0.667067401,-0.377105713,0.142208719,0.988308702,1375754.008,1537499663,37.8155372,-122.2639914
19454,0.417358398,0.174188032,1.381851196,1.909512728,-0.231185913,0.053446926,1.461898658,1375754.067,1537499663,37.8155372,-122.2639914
19455,0.134506226,0.018091925,0.974411011,0.949476818,-0.246231079,0.060629744,1.014001227,1375754.127,1537499663,37.8155372,-122.2639914
19456,0.290679932,0.084494823,0.914825439,0.836905584,-0.055374146,0.003066296,0.961491915,1375754.187,1537499663,37.8155372,-122.2639914
19457,0.241653442,0.058396386,1.256317139,1.578332754,0.11151123,0.012434754,1.284197763,1375754.246,1537499663,37.8155372,-122.2639914
19458,0.527618408,0.278381184,1.397842407,1.953963395,-0.329330444,0.108458541,1.52996834,1375754.306,1537499663,37.8155372,-122.2639914
19459,0.369537354,0.136557856,1.42010498,2.016698154,-0.301986694,0.091195963,1.498149516,1375754.366,1537499663,37.8155372,-122.2639914
19460,0.917724609,0.842218458,4.039794922,16.31994301,-0.419815063,0.176244687,4.163941181,1375754.425,1537499663,37.8155372,-122.2639914
19461,0.041732788,0.001741626,0.400115967,0.160092787,0.026794434,0.000717942,0.40317782,1375754.485,1537499664,37.81551279,-122.2638915
